App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Id
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19.0,10000.0,0,0.0,Everyone,Art & Design,2018-01-07,0
Coloring book moana,ART_AND_DESIGN,3.9,967,14.0,500000.0,0,0.0,Everyone,Art & Design;Pretend Play,2018-01-15,1
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7,5000000.0,0,0.0,Everyone,Art & Design,2018-08-01,2
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25.0,50000000.0,0,0.0,Teen,Art & Design,2018-06-08,3
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000.0,0,0.0,Everyone,Art & Design;Creativity,2018-06-20,4
Paper flowers instructions,ART_AND_DESIGN,4.4,167,5.6,50000.0,0,0.0,Everyone,Art & Design,2017-03-26,5
Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178,19.0,50000.0,0,0.0,Everyone,Art & Design,2018-04-26,6
Infinite Painter,ART_AND_DESIGN,4.1,36815,29.0,1000000.0,0,0.0,Everyone,Art & Design,2018-06-14,7
Garden Coloring Book,ART_AND_DESIGN,4.4,13791,33.0,1000000.0,0,0.0,Everyone,Art & Design,2017-09-20,8
Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121,3.1,10000.0,0,0.0,Everyone,Art & Design;Creativity,2018-07-03,9
Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880,28.0,1000000.0,0,0.0,Everyone,Art & Design,2017-10-27,10
Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788,12.0,1000000.0,0,0.0,Everyone,Art & Design,2018-07-31,11
Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829,20.0,10000000.0,0,0.0,Teen,Art & Design,2018-04-02,12
Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,100000.0,0,0.0,Everyone,Art & Design,2018-06-26,13
3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518,37.0,100000.0,0,0.0,Everyone,Art & Design,2018-08-03,14
Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632,5.5,500000.0,0,0.0,Everyone,Art & Design,2018-07-31,15
350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27,17.0,10000.0,0,0.0,Everyone,Art & Design,2017-11-07,16
FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216,39.0,5000000.0,0,0.0,Everyone,Art & Design,2018-08-03,17
ibis Paint X,ART_AND_DESIGN,4.6,224399,31.0,10000000.0,0,0.0,Everyone,Art & Design,2018-07-30,18
Logo Maker - Small Business,ART_AND_DESIGN,4.0,450,14.0,100000.0,0,0.0,Everyone,Art & Design,2018-04-20,19
Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654,12.0,100000.0,0,0.0,Everyone,Art & Design,2018-03-20,20
Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699,4.2,500000.0,0,0.0,Everyone 10+,Art & Design,2018-07-12,21
HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118,23.0,50000.0,0,0.0,Everyone,Art & Design,2018-07-07,22
Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192,6.0,10000.0,0,0.0,Everyone,Art & Design,2018-04-25,23
Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260,25.0,500000.0,0,0.0,Everyone,Art & Design;Creativity,2017-10-11,24
Animated Photo Editor,ART_AND_DESIGN,4.1,203,6.1,100000.0,0,0.0,Everyone,Art & Design,2018-03-21,25
Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136,4.6,10000.0,0,0.0,Everyone,Art & Design,2018-07-12,26
Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223,4.2,100000.0,0,0.0,Everyone,Art & Design,2017-08-22,27
Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120,9.2,100000.0,0,0.0,Everyone,Art & Design,2018-07-12,28
Art Drawing Ideas,ART_AND_DESIGN,4.1,227,5.2,50000.0,0,0.0,Everyone,Art & Design,2018-05-31,29
Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035,11.0,100000.0,0,0.0,Everyone,Art & Design,2018-07-19,30
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11.0,100000.0,0,0.0,Everyone,Art & Design,2018-01-06,31
I Creative Idea,ART_AND_DESIGN,4.7,353,4.2,10000.0,0,0.0,Teen,Art & Design,2018-04-27,32
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2,100000.0,0,0.0,Everyone,Art & Design,2018-07-11,33
UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145,24.0,500000.0,0,0.0,Everyone,Art & Design;Creativity,2018-08-02,34
PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158,11.0,10000.0,0,0.0,Everyone,Art & Design,2017-11-29,35
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4,500000.0,0,0.0,Everyone,Art & Design,2018-03-31,36
Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117,15.0,10000.0,0,0.0,Everyone,Art & Design,2018-07-20,37
Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176,10.0,100000.0,0,0.0,Everyone,Art & Design,2018-04-02,38
Paint Splash!,ART_AND_DESIGN,3.8,2206,1.2,100000.0,0,0.0,Everyone,Art & Design;Creativity,2018-04-15,39
Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26,12.0,10000.0,0,0.0,Everyone,Art & Design,2018-01-03,40
"Canva: Poster, banner, card maker & graphic design",ART_AND_DESIGN,4.7,174531,24.0,10000000.0,0,0.0,Everyone,Art & Design,2018-07-31,41
Install images with music to make video without Net - 2018,ART_AND_DESIGN,4.6,1070,26.0,100000.0,0,0.0,Everyone,Art & Design,2017-11-14,42
Little Teddy Bear Colouring Book Game,ART_AND_DESIGN,4.2,85,8.0,100000.0,0,0.0,Everyone,Art & Design,2017-12-17,43
How To Draw Food,ART_AND_DESIGN,4.3,845,7.9,100000.0,0,0.0,Everyone,Art & Design,2018-05-28,44
Monster Truck Stunt 3D 2019,AUTO_AND_VEHICLES,4.2,367,25.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-05-10,45
Real Tractor Farming,AUTO_AND_VEHICLES,4.0,1598,56.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-26,46
Ultimate F1 Racing Championship,AUTO_AND_VEHICLES,3.8,284,57.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-26,47
American Muscle Car Race,AUTO_AND_VEHICLES,3.9,129,35.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-26,48
Offroad Oil Tanker Driver Transport Truck 2019,AUTO_AND_VEHICLES,4.3,542,33.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-31,49
Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru,AUTO_AND_VEHICLES,4.9,10479,33.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-18,50
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6,50000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-29,51
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-26,52
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,0.201,100000.0,0,0.0,Everyone,Auto & Vehicles,2014-08-26,53
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-30,54
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7,10000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-08,55
CDL Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,7774,17.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-03,56
"ezETC (ETC balance inquiry, meter trial, real-time traffic)",AUTO_AND_VEHICLES,4.3,38846,8.6,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-28,57
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-06-12,58
DMV Permit Practice Test 2018 Edition,AUTO_AND_VEHICLES,4.9,6090,27.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-03,59
Check Vehicle Tax,AUTO_AND_VEHICLES,3.9,295,2.7,10000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-30,60
Used Cars Mexico,AUTO_AND_VEHICLES,4.0,190,2.5,50000.0,0,0.0,Everyone,Auto & Vehicles,2016-10-14,61
Used cars for sale - Trovit,AUTO_AND_VEHICLES,4.2,52530,7.0,5000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-16,62
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35.0,5000000.0,0,0.0,Everyone,Auto & Vehicles,2018-08-02,63
SK Enca Direct Malls - Used Cars Search,AUTO_AND_VEHICLES,3.6,1379,16.0,500000.0,0,0.0,Everyone,Auto & Vehicles,2018-08-02,64
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16.0,10000000.0,0,0.0,Teen,Auto & Vehicles,2018-07-11,65
Tickets SDA 2019 + Exam RF,AUTO_AND_VEHICLES,4.8,7021,17.0,500000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-27,66
Super Cars Wallpapers And Backgrounds,AUTO_AND_VEHICLES,4.6,197,3.4,50000.0,0,0.0,Everyone,Auto & Vehicles,2018-06-14,67
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-06-08,68
Police Detector (Speed Camera Radar),AUTO_AND_VEHICLES,4.3,3574,3.9,1000000.0,0,0.0,Everyone 10+,Auto & Vehicles,2018-07-04,69
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-03-27,70
Tickets + PDA 2018 Exam,AUTO_AND_VEHICLES,4.9,197136,38.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-15,71
Pick Your Part Garage,AUTO_AND_VEHICLES,3.9,142,32.0,50000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-24,72
PakWheels: Buy & Sell Cars,AUTO_AND_VEHICLES,4.4,15168,37.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-27,73
Supervision service,AUTO_AND_VEHICLES,4.0,2155,15.0,500000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-30,74
Speed Camera Detector - Traffic & Speed Alert,AUTO_AND_VEHICLES,4.3,138,5.4,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-23,75
Used car search Goo net whole car Go to net,AUTO_AND_VEHICLES,3.7,5414,18.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-23,76
BEST CAR SOUNDS,AUTO_AND_VEHICLES,4.3,348,38.0,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-29,77
RST - Sale of cars on the PCT,AUTO_AND_VEHICLES,3.2,250,1.1,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-04-27,78
SMS Park,AUTO_AND_VEHICLES,4.5,3617,7.9,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-05-16,79
SKencar,AUTO_AND_VEHICLES,3.7,4806,35.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-31,80
auto fines,AUTO_AND_VEHICLES,4.6,31433,17.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-08-02,81
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19.0,1000000.0,0,0.0,Everyone,Auto & Vehicles,2018-07-23,82
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14.0,500000.0,0,0.0,Everyone,Auto & Vehicles,2018-06-02,83
Inquiry Fines and Debits of Vehicles,AUTO_AND_VEHICLES,4.4,2680,2.2,500000.0,0,0.0,Everyone,Auto & Vehicles,2018-03-20,84
Gas Station,AUTO_AND_VEHICLES,4.0,1288,4.5,100000.0,0,0.0,Everyone,Auto & Vehicles,2018-04-21,85
Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,500000.0,0,0.0,Everyone,Beauty,2018-08-02,86
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14.0,1000000.0,0,0.0,Everyone,Beauty,2017-11-09,87
Natural recipes for your beauty,BEAUTY,4.7,1150,9.8,100000.0,0,0.0,Everyone,Beauty,2018-05-15,88
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21.0,500000.0,0,0.0,Everyone,Beauty,2018-07-12,89
Beauty Selfie Camera,BEAUTY,4.2,2225,52.0,500000.0,0,0.0,Everyone,Beauty,2018-02-28,90
Hairstyles step by step,BEAUTY,4.6,4369,14.0,100000.0,0,0.0,Everyone,Beauty,2018-07-25,91
Filters for Selfie,BEAUTY,4.3,8572,25.0,1000000.0,0,0.0,Everyone,Beauty,2018-05-10,92
